A01#紫微
A02#天機
A03#太陽
A04#武曲
A05#天同
A06#廉貞
B01#天府
B02#太陰
B03#貪狼
B04#巨門
B05#天相
B06#天梁
G04#七殺
B08#破軍
C01#文昌
C02#文曲
C03#火星
C04#鈴星
C05#地劫
C06#天空
C07#台輔
C08#封誥
D01#左輔
D02#右弼
D03#天刑
D04#天姚
D05#天馬
D06#解神
D07#天巫
D08#天月
D09#陰煞
E01#三台
E02#八座
E03#恩光
E04#天貴
F01#祿存
F02#羊刃
F03#陀羅
F04#天魁
F05#天鉞
F06#祿
F07#權
F08#科
F09#忌
F10#天官
F11#天福
0 #－
X01#甲
X02#乙
X03#丙
X04#丁
X05#戊
X06#己
X07#庚
X08#辛
X09#壬
X10#癸
Y01#子
Y02#丑
Y03#寅
Y04#卯
Y05#辰
Y06#巳
Y07#午
Y08#未
Y09#申
Y10#酉
Y11#戌
Y12#亥
J01#木
J02#火
J03#土
J04#金
J05#水
I01#建
I02#除
I03#滿
I04#平
I05#定
I06#執
I07#破
I09#成
I10#收
I11#開
I12#閉
K01#1白
K02#2黑
K03#3碧
K04#4綠
K05#5黃
K06#6白
K07#7赤
K08#8白
K09#9紫
H01#角
H02#亢
H03#氐
H04#房
H05#心
H06#尾
H07#箕
H08#斗
H09#牛
H10#女
H11#虛
H12#危
H13#室
H14#壁
H15#奎
H16#婁
H17#胃
H18#昂
H19#畢
H20#觜
H21#參
H22#井
H23#鬼
H24#柳
H25#星
H26#張
H27#翼
H28#軫
L01#甲戌
L02#丙戌
L03#戊戌
L04#庚戌
L05#壬戌
P01#乾
P02#兌
P03#離
P04#震
P05#巽
P06#坎
P07#艮
P08#坤
G01#正印
G02#偏印
G03#正官
G05#比肩
G06#劫財
G07#正財
G08#偏財
G09#食神
G10#傷官
