X01#J01
X02#J01
X03#J02
X04#J02
X05#J03
X06#J03
X07#J04
X08#J04
X09#J05
X10#J05
Y01#J05
Y02#J03
Y03#J01
Y04#J01
Y05#J03
Y06#J02
Y07#J02
Y08#J03
Y09#J04
Y10#J04
Y11#J03
Y12#J05
