X01#X01#G05
X01#X02#G06
X01#X03#G09
X01#X04#G10
X01#X05#G08
X01#X06#G07
X01#X07#G04
X01#X08#G03
X01#X09#G02
X01#X10#G01
X01#Y01#G01
X01#Y02#G07,G01,G03
X01#Y03#G05,G09,G08
X01#Y04#G06
X01#Y05#G08,G06,G01
X01#Y06#G09,G04,G08
X01#Y07#G10,G07
X01#Y08#G07,G10,G06
X01#Y09#G04,G02,G08
X01#Y10#G03
X01#Y11#G08,G03,G10
X01#Y12#G02,G05
X02#X01#G06
X02#X02#G05
X02#X03#G10
X02#X04#G09
X02#X05#G07
X02#X06#G08
X02#X07#G03
X02#X08#G04
X02#X09#G01
X02#X10#G02
X02#Y01#G02
X02#Y02#G08,G02,G04
X02#Y03#G06,G10,G07
X02#Y04#G05
X02#Y05#G07,G05,G02
X02#Y06#G10,G03,G07
X02#Y07#G09,G08
X02#Y08#G08,G09,G05
X02#Y09#G03,G01,G07
X02#Y10#G04
X02#Y11#G07,G04,G09
X02#Y12#G01,G06
X03#X01#G02
X03#X02#G01
X03#X03#G05
X03#X04#G06
X03#X05#G09
X03#X06#G10
X03#X07#G08
X03#X08#G07
X03#X09#G04
X03#X10#G03
X03#Y01#G03
X03#Y02#G10,G03,G07
X03#Y03#G02,G05,G09
X03#Y04#G01
X03#Y05#G09,G01,G03
X03#Y06#G05,G08,G09
X03#Y07#G06,G10
X03#Y08#G10,G06,G01
X03#Y09#G08,G04,G09
X03#Y10#G07
X03#Y11#G09,G07,G06
X03#Y12#G04,G02
X04#X01#G01
X04#X02#G02
X04#X03#G06
X04#X04#G05
X04#X05#G10
X04#X06#G09
X04#X07#G07
X04#X08#G08
X04#X09#G03
X04#X10#G04
X04#Y01#G04
X04#Y02#G09,G04,G08
X04#Y03#G01,G06,G10
X04#Y04#G02
X04#Y05#G10,G02,G04
X04#Y06#G06,G07,G10
X04#Y07#G05,G09
X04#Y08#G09,G05,G02
X04#Y09#G07,G03,G10
X04#Y10#G08
X04#Y11#G10,G08,G05
X04#Y12#G03,G01
X05#X01#G04
X05#X02#G03
X05#X03#G02
X05#X04#G01
X05#X05#G05
X05#X06#G06
X05#X07#G09
X05#X08#G10
X05#X09#G08
X05#X10#G07
X05#Y01#G07
X05#Y02#G06,G07,G10
X05#Y03#G04,G02,G05
X05#Y04#G03
X05#Y05#G05,G03,G07
X05#Y06#G02,G09,G05
X05#Y07#G01,G06
X05#Y08#G06,G01,G03
X05#Y09#G09,G08,G05
X05#Y10#G10
X05#Y11#G05,G10,G01
X05#Y12#G08,G04
X06#X01#G03
X06#X02#G04
X06#X03#G01
X06#X04#G02
X06#X05#G06
X06#X06#G05
X06#X07#G10
X06#X08#G09
X06#X09#G07
X06#X10#G08
X06#Y01#G08
X06#Y02#G05,G08,G09
X06#Y03#G03,G01,G06
X06#Y04#G04
X06#Y05#G06,G04,G08
X06#Y06#G01,G10,G06
X06#Y07#G02,G05
X06#Y08#G05,G02,G04
X06#Y09#G10,G07,G06
X06#Y10#G09
X06#Y11#G06,G09,G02
X06#Y12#G07,G03
X07#X01#G08
X07#X02#G07
X07#X03#G04
X07#X04#G03
X07#X05#G02
X07#X06#G01
X07#X07#G05
X07#X08#G06
X07#X09#G09
X07#X10#G10
X07#Y01#G10
X07#Y02#G01,G10,G06
X07#Y03#G08,G04,G02
X07#Y04#G07
X07#Y05#G02,G07,G10
X07#Y06#G04,G05,G02
X07#Y07#G03,G01
X07#Y08#G01,G03,G07
X07#Y09#G05,G09,G02
X07#Y10#G06
X07#Y11#G02,G06,G03
X07#Y12#G09,G08
X08#X01#G07
X08#X02#G08
X08#X03#G03
X08#X04#G04
X08#X05#G01
X08#X06#G02
X08#X07#G06
X08#X08#G05
X08#X09#G10
X08#X10#G09
X08#Y01#G09
X08#Y02#G02,G09,G05
X08#Y03#G07,G03,G01
X08#Y04#G08
X08#Y05#G01,G08,G09
X08#Y06#G03,G06,G01
X08#Y07#G04,G02
X08#Y08#G02,G04,G08
X08#Y09#G06,G10,G01
X08#Y10#G05
X08#Y11#G01,G05,G04
X08#Y12#G10,G07
X09#X01#G09
X09#X02#G10
X09#X03#G08
X09#X04#G07
X09#X05#G04
X09#X06#G03
X09#X07#G02
X09#X08#G01
X09#X09#G05
X09#X10#G06
X09#Y01#G06
X09#Y02#G03,G06,G01
X09#Y03#G09,G08,G04
X09#Y04#G10
X09#Y05#G04,G10,G06
X09#Y06#G08,G02,G04
X09#Y07#G07,G03
X09#Y08#G03,G07,G10
X09#Y09#G02,G05,G04
X09#Y10#G01
X09#Y11#G04,G01,G07
X09#Y12#G05,G09
X10#X01#G10
X10#X02#G09
X10#X03#G07
X10#X04#G08
X10#X05#G03
X10#X06#G04
X10#X07#G01
X10#X08#G02
X10#X09#G06
X10#X10#G05
X10#Y01#G05
X10#Y02#G04,G05,G02
X10#Y03#G10,G07,G03
X10#Y04#G09
X10#Y05#G03,G09,G05
X10#Y06#G07,G01,G03
X10#Y07#G08,G04
X10#Y08#G04,G08,G09
X10#Y09#G01,G06,G03
X10#Y10#G02
X10#Y11#G03,G02,G08
X10#Y12#G06,G10
