Y01#X10#100####
Y02#X10#25#X08#15#X06#60
Y03#X05#15#X03#25#X01#60
Y04#X02#100####
Y05#X02#25#X10#15#X05#60
Y06#X05#15#X07#25#X03#60
Y07#X06#30#X04#70##
Y08#X04#25#X02#15#X06#60
Y09#X05#15#X09#25#X07#60
Y10#X08#100####
Y11#X08#25#X04#15#X05#60
Y12#X01#30#X09#70##
