lngTotalSN,lngYearSN,lngDateSN,strSN,lngL1,lngL2,lngL3,lngL4,lngL5,lngL6,lngS1,intSum
1396,254,20210607,20210607254,,,,,,,,0
1397,255,20210610,20210610255,,,,,,,,0
1398,256,20210614,20210614256,,,,,,,,0
1399,257,20210617,20210617257,,,,,,,,0
1400,258,20210621,20210621258,,,,,,,,0
1401,259,20210624,20210624259,,,,,,,,0
1402,260,20210628,20210628260,,,,,,,,0
1403,261,20210701,20210701261,,,,,,,,0
1404,262,20210705,20210705262,,,,,,,,0
1405,263,20210708,20210708263,,,,,,,,0
1406,264,20210712,20210712264,,,,,,,,0
1407,265,20210715,20210715265,,,,,,,,0
1408,266,20210719,20210719266,,,,,,,,0
1409,267,20210722,20210722267,,,,,,,,0
1410,268,20210726,20210726268,,,,,,,,0
1411,269,20210729,20210729269,,,,,,,,0
1412,270,20210802,20210802270,,,,,,,,0
1413,271,20210805,20210805271,,,,,,,,0
1414,272,20210809,20210809272,,,,,,,,0
1415,273,20210812,20210812273,,,,,,,,0
1416,274,20210816,20210816274,,,,,,,,0
1417,275,20210819,20210819275,,,,,,,,0
1418,276,20210823,20210823276,,,,,,,,0
1419,277,20210826,20210826277,,,,,,,,0
